,rule,alpha,d_ini,level_3,n_cell,count,actual_run_num,mean_2,mean_3
195,0,0.95,0.2,mean,400,199.5,2.195,0.7528774954164199,1.114101533358665
196,0,0.95,0.25,mean,400,199.5,2.21,0.8401134331895223,1.2461385691919062
197,0,0.95,0.3,mean,400,199.5,2.255,0.9062142587978496,1.3442488838693054
198,0,0.95,0.35,mean,400,199.5,2.3025,0.9522969213015435,1.414338332417952
199,0,0.95,0.4,mean,400,199.5,2.4,0.9652166548071165,1.4346656061006766
200,0,0.95,0.45,mean,400,199.5,2.3375,1.0152258664092542,1.507715188677678
201,0,0.95,0.5,mean,400,199.5,2.375,1.0249675090026082,1.5211446247479663
202,0,0.95,0.55,mean,400,199.5,2.4725,0.9941528522234205,1.4771541710459044
203,0,0.95,0.6,mean,400,199.5,2.5075,0.9739574006515441,1.4465721828688616
204,0,0.95,0.65,mean,400,199.5,2.56,0.934224105645104,1.3872093357686723
205,0,0.95,0.7,mean,400,199.5,2.53,0.9096674482421472,1.3505881407805953
206,0,0.95,0.75,mean,400,199.5,2.5925,0.8459369271363966,1.253946730451407
207,0,0.95,0.8,mean,400,199.5,2.5425,0.7977651360184589,1.180452678035995
208,0,1.0,0.2,mean,400,199.5,1.0,1.436335916666247,2.1321880496274925
209,0,1.0,0.25,mean,400,199.5,1.0,1.6055021586993734,2.3851273395052264
210,0,1.0,0.3,mean,400,199.5,1.0,1.748121507277235,2.6008106849601837
211,0,1.0,0.35,mean,400,199.5,1.0,1.8569816852740688,2.763377131824106
212,0,1.0,0.4,mean,400,199.5,1.0,1.9335225910262188,2.8779630534133975
213,0,1.0,0.45,mean,400,199.5,1.0,1.975444960415559,2.941599398251985
214,0,1.0,0.5,mean,400,199.5,1.0,1.9888097222497425,2.9612525352085113
215,0,1.0,0.55,mean,400,199.5,1.0,1.9747384804196226,2.9414143265074917
216,0,1.0,0.6,mean,400,199.5,1.0,1.9292979179845076,2.872722006231078
217,0,1.0,0.65,mean,400,199.5,1.0,1.8556029700799117,2.761269361384294
218,0,1.0,0.7,mean,400,199.5,1.0,1.7500972176666059,2.603017286359182
219,0,1.0,0.75,mean,400,199.5,1.0,1.6141688186730405,2.3972960138770802
220,0,1.0,0.8,mean,400,199.5,1.0,1.4421361935859465,2.139383780326298
221,1,0.2,0.2,mean,400,199.5,500.0,1.6367221130951528,2.396517575805631
222,1,0.2,0.25,mean,400,199.5,500.0,1.6370163899467056,2.3975136620692763
223,1,0.2,0.3,mean,400,199.5,500.0,1.6376964165031453,2.3976829545448313
224,1,0.2,0.35,mean,400,199.5,500.0,1.6383791168454627,2.3989168222952895
225,1,0.2,0.4,mean,400,199.5,500.0,1.6383564138683926,2.3993760940164464
226,1,0.2,0.45,mean,400,199.5,500.0,1.6391350355755545,2.4006922994470856
227,1,0.2,0.5,mean,400,199.5,500.0,1.6395401953693385,2.4011087846451176
228,1,0.2,0.55,mean,400,199.5,500.0,1.6397717390879085,2.401173212110399
229,1,0.2,0.6,mean,400,199.5,500.0,1.6399353622006982,2.4016901859598754
230,1,0.2,0.65,mean,400,199.5,500.0,1.6401480415135004,2.402077478356903
