,rule,alpha,d_ini,level_3,count,actual_run_num,System_entropy
9775,126,0.95,0.2,mean,0,143.437,5.4772292936151095
9776,126,0.95,0.3,mean,0,159.431,5.56780000141736
9777,126,0.95,0.4,mean,0,135.337,5.2355369143482235
9778,126,0.95,0.5,mean,0,121.13,4.860057019369405
9779,126,0.95,0.6,mean,0,143.659,5.257141976680565
9780,126,0.95,0.7,mean,0,145.576,5.421814549094554
9781,126,0.95,0.8,mean,0,145.301,5.52449248593667
9782,126,0.95,0.9,mean,0,146.102,5.4348619066392985
9783,126,1.0,0.1,mean,0,3000.0,2.0073283197345835
9784,126,1.0,0.2,mean,0,3000.0,1.9698219667973556
9785,126,1.0,0.3,mean,0,3000.0,2.0329828636512572
9786,126,1.0,0.4,mean,0,2622.252,2.0049235341517777
9787,126,1.0,0.5,mean,0,2148.568,1.7838643038908546
9788,126,1.0,0.6,mean,0,2613.258,1.9994488414261677
9789,126,1.0,0.7,mean,0,3000.0,2.0359561700768016
9790,126,1.0,0.8,mean,0,3000.0,1.9685096855110786
9791,126,1.0,0.9,mean,0,3000.0,2.0073283197345835
9792,128,0.2,0.1,mean,0,5.134,0.0
9793,128,0.2,0.2,mean,0,7.366,0.7282121224057263
9794,128,0.2,0.3,mean,0,9.158,1.1694366014853352
9795,128,0.2,0.4,mean,0,10.091,1.4813101575309278
9796,128,0.2,0.5,mean,0,11.736,1.7218466598909956
9797,128,0.2,0.6,mean,0,13.455,1.9611254151586521
9798,128,0.2,0.7,mean,0,15.057,2.2219983282332914
9799,128,0.2,0.8,mean,0,18.481,2.4213356790943044
9800,128,0.2,0.9,mean,0,24.657,2.6856217725476017
9801,128,0.25,0.1,mean,0,4.056,0.0
9802,128,0.25,0.2,mean,0,5.747,0.6962709161898283
9803,128,0.25,0.3,mean,0,7.165,1.1407471932458186
9804,128,0.25,0.4,mean,0,8.168,1.4529906982235694
9805,128,0.25,0.5,mean,0,9.07,1.698411424987037
9806,128,0.25,0.6,mean,0,10.319,1.9405405587636122
9807,128,0.25,0.7,mean,0,12.196,2.1632364509358752
9808,128,0.25,0.8,mean,0,14.728,2.423311812141789
9809,128,0.25,0.9,mean,0,19.932,2.7006106962245866
9810,128,0.3,0.1,mean,0,3.314,0.0
9811,128,0.3,0.2,mean,0,4.697,0.6924142740405874
9812,128,0.3,0.3,mean,0,5.566,1.1038083425021425
9813,128,0.3,0.4,mean,0,6.62,1.4257457357993775
9814,128,0.3,0.5,mean,0,7.521,1.6754413503799894
9815,128,0.3,0.6,mean,0,8.713,1.907509113758028
9816,128,0.3,0.7,mean,0,9.861,2.143721437426313
9817,128,0.3,0.8,mean,0,12.061,2.4074628073704374
9818,128,0.3,0.9,mean,0,16.329,2.708718103966771
9819,128,0.35,0.1,mean,0,2.869,0.0
9820,128,0.35,0.2,mean,0,4.013,0.6906439728397974
9821,128,0.35,0.3,mean,0,4.757,1.1092591310517033
9822,128,0.35,0.4,mean,0,5.625,1.3980337128846942
9823,128,0.35,0.5,mean,0,6.261,1.641102759096972
9824,128,0.35,0.6,mean,0,7.219,1.8675121586402073
9825,128,0.35,0.7,mean,0,8.476,2.0944471051718185
9826,128,0.35,0.8,mean,0,10.491,2.383670480903679
9827,128,0.35,0.9,mean,0,14.089,2.6935206744196027
9828,128,0.4,0.1,mean,0,2.468,0.0
9829,128,0.4,0.2,mean,0,3.501,0.6763781241606168
9830,128,0.4,0.3,mean,0,4.094,1.0433601162510122
9831,128,0.4,0.4,mean,0,4.853,1.362405738152546
9832,128,0.4,0.5,mean,0,5.546,1.5929689221167533
9833,128,0.4,0.6,mean,0,6.522,1.815770403971731
9834,128,0.4,0.7,mean,0,7.283,2.076835935461921
9835,128,0.4,0.8,mean,0,9.177,2.357934613320947
9836,128,0.4,0.9,mean,0,12.297,2.674886759152909
9837,128,0.45,0.1,mean,0,2.182,0.0
9838,128,0.45,0.2,mean,0,2.964,0.6521712054313265
9839,128,0.45,0.3,mean,0,3.64,1.0138514652230632
9840,128,0.45,0.4,mean,0,4.092,1.2863876210954843
9841,128,0.45,0.5,mean,0,4.81,1.5243936874891477
9842,128,0.45,0.6,mean,0,5.543,1.7638014218684903
9843,128,0.45,0.7,mean,0,6.45,2.0272584978333112
9844,128,0.45,0.8,mean,0,8.029,2.3200240083609573
9845,128,0.45,0.9,mean,0,10.896,2.670365919862774
9846,128,0.5,0.1,mean,0,2.049,0.0
9847,128,0.5,0.2,mean,0,2.654,0.6316305672869766
9848,128,0.5,0.3,mean,0,3.153,0.9557322872504816
9849,128,0.5,0.4,mean,0,3.664,1.2412728370551727
9850,128,0.5,0.5,mean,0,4.265,1.4733514083993033
9851,128,0.5,0.6,mean,0,4.827,1.7118332418551607
9852,128,0.5,0.7,mean,0,5.619,1.9715050515232257
9853,128,0.5,0.8,mean,0,7.181,2.2827817097533525
9854,128,0.5,0.9,mean,0,9.863,2.6608906094084768
9855,128,0.55,0.1,mean,0,1.821,0.0
9856,128,0.55,0.2,mean,0,2.418,0.581327985702978
9857,128,0.55,0.3,mean,0,2.796,0.9074220223950377
9858,128,0.55,0.4,mean,0,3.256,1.1680427051109026
9859,128,0.55,0.5,mean,0,3.76,1.4187729239873028
9860,128,0.55,0.6,mean,0,4.506,1.6723839663846987
9861,128,0.55,0.7,mean,0,5.275,1.911873558081948
9862,128,0.55,0.8,mean,0,6.475,2.2270789981843624
9863,128,0.55,0.9,mean,0,8.736,2.634659366417384
9864,128,0.6,0.1,mean,0,1.655,0.0
9865,128,0.6,0.2,mean,0,2.184,0.5472865963518294
9866,128,0.6,0.3,mean,0,2.499,0.8348712593111862
9867,128,0.6,0.4,mean,0,3.017,1.13655417006081
9868,128,0.6,0.5,mean,0,3.438,1.3493771517464124
9869,128,0.6,0.6,mean,0,3.932,1.583559621537794
9870,128,0.6,0.7,mean,0,4.637,1.8520824473843014
9871,128,0.6,0.8,mean,0,5.876,2.1860923013285682
9872,128,0.6,0.9,mean,0,8.014,2.6081777601233807
9873,128,0.65,0.1,mean,0,1.572,0.0
9874,128,0.65,0.2,mean,0,1.963,0.4895086608627387
9875,128,0.65,0.3,mean,0,2.275,0.7751995719821041
9876,128,0.65,0.4,mean,0,2.664,1.0176471380065122
9877,128,0.65,0.5,mean,0,3.051,1.2598861813467088
9878,128,0.65,0.6,mean,0,3.571,1.5171131615266962
9879,128,0.65,0.7,mean,0,4.372,1.813075457008986
9880,128,0.65,0.8,mean,0,5.364,2.133846923794119
9881,128,0.65,0.9,mean,0,7.529,2.5912919870152686
9882,128,0.7,0.1,mean,0,1.483,0.0
9883,128,0.7,0.2,mean,0,1.775,0.4417556530583597
9884,128,0.7,0.3,mean,0,2.069,0.7021088002133824
9885,128,0.7,0.4,mean,0,2.472,0.9760893620736397
9886,128,0.7,0.5,mean,0,2.809,1.186800725258471
9887,128,0.7,0.6,mean,0,3.273,1.4447040399542748
9888,128,0.7,0.7,mean,0,3.96,1.7354425539739522
9889,128,0.7,0.8,mean,0,4.996,2.071052711957268
9890,128,0.7,0.9,mean,0,6.927,2.549092245994426
9891,128,0.75,0.1,mean,0,1.326,0.0
9892,128,0.75,0.2,mean,0,1.652,0.39277836033361546
9893,128,0.75,0.3,mean,0,1.878,0.633348703346394
